Rental_type,Bedroom,Bathroom,Rent,Month_Available,Gender_Suitability,Location,Area,adm3_pcode
Seat,1,1,3900,August,Male,"Banasree,Rampura",rampura,BD302667
Seat,1,1,4000,August,Male,"Agargaon,Sher-E-BanglaNagar",agargaon,BD302680
Seat,1,1,4000,August,Female,"MiddleBadda,Badda",badda,BD302604
Seat,1,1,4000,August,Male,"BaddaDITProject,Badda",badda,BD302604
Room,1,1,4000,August,Male,"NorthBadda,Badda",badda,BD302604
Seat,1,1,4000,August,Male,"NorthBadda,Badda",badda,BD302604
Seat,1,1,4000,August,Female,"Faydabad,Daskhinkhan",daskhinkhan,BD302610
Seat,1,1,4000,September,Male,"Daskhinkhan,Dhaka",daskhinkhan,BD302610
Seat,1,1,4000,August,Female,"Sobhanbagh,Dhanmondi",dhanmondi,BD302616
Seat,1,1,4000,September,Male,"Dhanmondi,Dhaka",dhanmondi,BD302616
Room,1,1,4000,August,Male,"Baridhara,Gulshan",gulshan,BD302626
